Fecha,Positivos,Neutrales,Negativos,Twitt_del_dia
2018-11-26,	13,	7,	3,	El Seremi @alex_meeder junto al alcalde de #Futaleufú Fernando Grandon @MuniFutaleufu el Director del… https://t.co/3qTHJGS5s8
2018-11-27,13,7,3,El Seremi @alex_meeder junto al alcalde de #Futaleufú Fernando Grandon @MuniFutaleufu el Director del… https://t.co/3qTHJGS5s8
2018-11-28,13,7,3,El Seremi @alex_meeder junto al alcalde de #Futaleufú Fernando Grandon @MuniFutaleufu el Director del… https://t.co/3qTHJGS5s8
2018-11-29,13,7,3,El Seremi @alex_meeder junto al alcalde de #Futaleufú Fernando Grandon @MuniFutaleufu el Director del… https://t.co/3qTHJGS5s8
2018-12-01,7,4,4,Futaleufú me tiene así 😍😻🤩 https://t.co/jenqBnA7uR
2018-12-02,5,3,1,@El_Jote En Futaleufu no ha autos
2018-12-03,15,3,0,Con el equipo de la aduana de #Futaleufú que cumple una gran labor a pesar del aislamiento y las adversidades. Nues… https://t.co/tWdB6DeIES
2018-12-04,11,5,3,[Está pasando] #UAysén apoyando a los jóvenes en la búsqueda de las pasiones internas y las vocaciones. Estudiantes… https://t.co/kUx2kFDygd
2018-12-05,7,1,2,#RutasPatagonicas Optimiza tu Estadía en #Patagonia Vistas de la Ruta #Futaleufu hacia #VillaSantaLucia… https://t.co/eqeqVbU54Y
