Fecha,Positivos,Neutrales,Negativos,Twitt_del_dia
2018-11-26,14,14,3,Los invitamos a leer esta nota publicada en @elmorrocotudo acerca de la entrega de bonos de riego de la @CNRCHILE… https://t.co/w4WijWKApi
2018-11-27,14,14,3, Los invitamos a leer esta nota publicada en @elmorrocotudo acerca de la entrega de bonos de riego de la @CNRCHILE… https://t.co/w4WijWKApi
2018-11-28,14,14,3, Los invitamos a leer esta nota publicada en @elmorrocotudo acerca de la entrega de bonos de riego de la @CNRCHILE… https://t.co/w4WijWKApi
2018-11-29,14,14,3, Los invitamos a leer esta nota publicada en @elmorrocotudo acerca de la entrega de bonos de riego de la @CNRCHILE… https://t.co/w4WijWKApi
2018-12-01,6,7,2,Niños del Kínder del Liceo Granaderos de Putre compartieron del paseo de fin de año junto a Gob de Parinacota… https://t.co/z3gf8ZE530
2018-12-02,15,7,1,"Gracias a un trabajo conjunto entre @saludarica, @MunicipioPutre y médicos voluntarios de la Universidad Católica,… https://t.co/3qsxxhEP6w"
2018-12-03,12,7,2,"#ColoresDeChile Parque Nacional Lauca Comuna de Putre. Posee una superficie de 137.883 ha. Se sitúa a una altitud d… https://t.co/aVrx0QJ6KQ"
2018-12-04,23,15,4,#Putre ha sido seleccionada como uno de los 15 destinos emergentes de Chile en una votación llevada a cabo por la… https://t.co/2idfnudBOk
2018-12-05,14,11,1,"#Putre, #Taltal, #BahíaInglesa, #ValledeElqui y #MontePatria son los 5 destinos del norte finalistas del concurso d… https://t.co/HWuUkvI4X4"
