Fecha,Positivos,Neutrales,Negativos,Twitt_del_dia
2018-11-26,	467,	278,	83,	"Gracias por el apoyo y por su aprobación en mi labor Senatorial del 55,4% Seguiremos trabajando junto a UD. Senador… https://t.co/dwHgXzZC6b"
2018-11-27,467,278,83,"Gracias por el apoyo y por su aprobación en mi labor Senatorial del 55,4% Seguiremos trabajando junto a UD. Senador… https://t.co/dwHgXzZC6b"
2018-11-28,467,278,83,"Gracias por el apoyo y por su aprobación en mi labor Senatorial del 55,4% Seguiremos trabajando junto a UD. Senador… https://t.co/dwHgXzZC6b"
2018-11-29,467,278,83,"Gracias por el apoyo y por su aprobación en mi labor Senatorial del 55,4% Seguiremos trabajando junto a UD. Senador… https://t.co/dwHgXzZC6b"
2018-12-01,316,128,56,Puros compás del atlas.  Medina. Andrade. Osorno. Cabuto. Briseño ❤️🖤🙏🏻⚽️👍🏻💯 https://t.co/lLX7sQQhJr
2018-12-02,151,80,33,@DiegoEOsorno Lamento mucho estimado Diego Osorno que asumas una actitud de descalificación hacia un acto legítimo… https://t.co/1mxIehrtz6
2018-12-03,315,132,63,"#Osorno: 80 ciudadanos haitianos recibieron certificados de finalización de clases de español, gestionadas por la O… https://t.co/Ph294KUscG"
2018-12-04,168,98,23,El mejor regalo para nosotros es ver la alegría de los niños disfrutando y emocionándose con nuestra gira… https://t.co/dnQerXg0RG
2018-12-05,81,101,17,Les doy un consejo para aprovechar el corte de luz?? Miren el cielo y las estrellas sin contamicion luminica. ⛼🌚⭐🌟🌠… https://t.co/baKyoGtfyE
